timestamp,protocol,src_ip,dst_ip,src_port,dst_port,seq,ack,sub_protocol,http_data,http_method,http_path,http_version,http_host,http_connection,smtp_data,smtp_mail_from,smtp_rcpt_to,dns_query,dns_query_type
2024-11-18 17:29:09,UDP,192.168.43.32,104.103.68.155,49686,443,,,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342299376,3395564645,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395564645,1342299377,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395564645,1342299377,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395566033,1342299377,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,40.126.35.87,192.168.43.32,443,53135,2856329989,2171465708,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,40.126.35.87,192.168.43.32,443,53135,2856329989,2171468588,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,40.126.35.87,192.168.43.32,443,53135,2856329989,2171470749,,,,,,,,,,,,
2024-11-18 17:29:09,UDP,104.103.68.155,192.168.43.32,443,49686,,,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342299377,3395566033,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342299377,3395566718,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342299377,3395566718,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342300765,3395566718,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395566718,1342302153,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342302153,3395566718,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395566718,1342302909,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395566718,1342302909,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395566782,1342302909,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395566874,1342302909,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395567540,1342302909,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,40.126.35.87,192.168.43.32,443,53135,2856329989,2171470749,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,40.126.35.87,192.168.43.32,443,53135,2856331449,2171470749,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,40.126.35.87,192.168.43.32,443,53135,2856332909,2171470749,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,40.126.35.87,192.168.43.32,443,53135,2856334369,2171470749,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,40.126.35.87,192.168.43.32,443,53135,2856335829,2171470749,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,40.126.35.87,53135,443,2171470749,2856336268,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,40.126.35.87,53135,443,2171470749,2856336268,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,142.250.196.106,192.168.43.32,443,51809,3222372555,817677721,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,142.250.196.106,51809,443,817677721,3222372647,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342302909,3395566874,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342302909,3395568744,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342302909,3395568744,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395568744,1342303436,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395568744,1342303436,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342303436,3395568744,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,3.233.158.25,53136,443,3395568775,1342303744,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,3.233.158.25,192.168.43.32,443,53136,1342303744,3395568775,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320299787,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320300053,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320300092,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320301292,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320302492,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320303692,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320304892,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320306092,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320307292,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320308492,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320309692,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320310892,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320312092,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320313292,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320314492,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320315692,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320316498,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320317698,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320318898,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320320098,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320321298,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320322498,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320323698,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320324898,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.42.5,52488,443,320326098,998902486,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,20.42.65.91,52277,443,513435907,54245959,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,20.42.65.91,52277,443,513436168,54245959,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,20.42.65.91,52277,443,513437596,54245959,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,20.42.65.91,52277,443,513439024,54245959,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,20.42.65.91,52277,443,513440452,54245959,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,20.42.65.91,52277,443,513441880,54245959,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.8.12,52969,443,1600098501,1673980591,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.8.12,52969,443,1600098646,1673980591,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.8.12,52969,443,1600100086,1673980591,,,,,,,,,,,,
2024-11-18 17:29:09,UDP,192.168.43.32,104.103.68.160,54097,443,,,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.8.12,52969,443,1600098935,1673980591,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,52.108.8.12,192.168.43.32,443,52969,1673980591,1600100375,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,52.108.8.12,192.168.43.32,443,52969,1673980591,1600100375,,,,,,,,,,,,
2024-11-18 17:29:09,TCP,192.168.43.32,52.108.8.12,52969,443,1600100375,1673981039,,,,,,,,,,,,
2024-11-18 17:29:10,UDP,104.103.68.160,192.168.43.32,443,54097,,,,,,,,,,,,,,
2024-11-18 17:29:10,UDP,104.103.68.160,192.168.43.32,443,54097,,,,,,,,,,,,,,
2024-11-18 17:29:10,UDP,104.103.68.160,192.168.43.32,443,54097,,,,,,,,,,,,,,
2024-11-18 17:29:10,UDP,104.103.68.160,192.168.43.32,443,54097,,,,,,,,,,,,,,
2024-11-18 17:29:10,UDP,192.168.43.32,104.103.68.160,54097,443,,,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902486,320300092,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902486,320302492,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902486,320304892,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902486,320307292,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902486,320310892,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902486,320312092,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,20.42.65.91,192.168.43.32,443,52277,54245959,513437596,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,20.42.65.91,192.168.43.32,443,52277,54245959,513440452,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902486,320315692,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902486,320316498,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,20.42.65.91,192.168.43.32,443,52277,54245959,513443267,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902486,320316498,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902525,320317698,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902525,320318898,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902525,320320098,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902525,320321298,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902525,320323698,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902525,320326568,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.42.5,52488,443,320326568,998902525,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.9.12,192.168.43.32,443,52479,2329839555,1505373481,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.9.12,192.168.43.32,443,52479,2329839897,1505373481,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.9.12,52479,443,1505373481,2329839935,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.9.12,52479,443,1505373481,2329839935,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.9.12,52479,443,1505374921,2329839935,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.9.12,52479,443,1505376361,2329839935,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.9.12,52479,443,1505376672,2329839935,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.9.12,52479,443,1505378112,2329839935,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.9.12,192.168.43.32,443,52479,2329839935,1505374921,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.9.12,192.168.43.32,443,52479,2329839935,1505376672,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.9.12,192.168.43.32,443,52479,2329839935,1505378112,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.9.12,192.168.43.32,443,52479,2329839935,1505378660,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.8.12,192.168.43.32,443,52969,1673981039,1600100375,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.8.12,192.168.43.32,443,52969,1673981384,1600100375,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.8.12,52969,443,1600100375,1673981422,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.8.12,52969,443,1600100375,1673981422,,,,,,,,,,,,
2024-11-18 17:29:10,UDP,104.103.68.160,192.168.43.32,443,54097,,,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.8.12,192.168.43.32,443,52969,1673981422,1600100417,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.8.12,52969,443,1600100417,1673981422,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.8.12,52969,443,1600101857,1673981422,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.8.12,52969,443,1600103297,1673981422,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.8.12,52969,443,1600103913,1673981422,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.8.12,52969,443,1600105353,1673981422,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.8.12,192.168.43.32,443,52969,1673981422,1600101857,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.8.12,192.168.43.32,443,52969,1673981422,1600103297,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.8.12,192.168.43.32,443,52969,1673981422,1600103913,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.8.12,192.168.43.32,443,52969,1673981422,1600105353,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.8.12,192.168.43.32,443,52969,1673981422,1600106166,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,52.108.42.5,192.168.43.32,443,52488,998902525,320326568,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,20.42.65.91,192.168.43.32,443,52277,54245959,513443267,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,52.108.42.5,52488,443,320326568,998902672,,,,,,,,,,,,
2024-11-18 17:29:10,TCP,192.168.43.32,20.42.65.91,52277,443,513443267,54246041,,,,,,,,,,,,
2024-11-18 17:29:11,UDP,192.168.43.32,104.103.68.155,49686,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,192.168.43.32,3.168.178.85,53076,443,384325896,238354642,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,3.168.178.85,192.168.43.32,443,53076,238354642,384325897,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,104.103.68.155,192.168.43.32,443,49686,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,104.103.68.155,192.168.43.32,443,49686,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,104.103.68.155,192.168.43.32,443,49686,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,104.103.68.155,192.168.43.32,443,49686,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,104.103.68.155,49686,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,104.103.68.155,192.168.43.32,443,49686,,,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,192.168.43.32,40.126.35.20,53131,443,1279257988,2813607236,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,192.168.43.32,76.76.21.21,53080,443,2258865951,3783416852,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,192.168.43.32,76.76.21.21,53078,443,235631633,4051651797,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,192.168.43.32,110.93.145.236,53041,443,779365358,348464650,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,76.76.21.21,192.168.43.32,443,53078,4051651797,235631634,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,76.76.21.21,192.168.43.32,443,53080,3783416852,2258865952,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,110.93.145.236,192.168.43.32,443,53041,348464650,779365359,,,,,,,,,,,,
2024-11-18 17:29:12,TCP,40.126.35.20,192.168.43.32,443,53131,2813607236,1279257989,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.14,56287,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,172.217.175.14,192.168.43.32,443,56287,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.4,56588,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.4,56588,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.4,56588,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.4,56588,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.4,56588,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.4,56588,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,172.217.175.4,192.168.43.32,443,56588,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,172.217.175.4,192.168.43.32,443,56588,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.4,56588,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,172.217.175.4,192.168.43.32,443,56588,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,172.217.175.4,192.168.43.32,443,56588,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.4,56588,443,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,172.217.175.4,192.168.43.32,443,56588,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,172.217.175.4,192.168.43.32,443,56588,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,172.217.175.4,192.168.43.32,443,56588,,,,,,,,,,,,,,
2024-11-18 17:29:12,UDP,192.168.43.32,172.217.175.4,56588,443,,,,,,,,,,,,,,
